75,10634745076273369,26252,-1098,-159,75571,644954,-51,8691,4944,9203,3733,1166
40,10634745596635883,27230,-481,1506,106878,690961,4375,1495,-8866,6973,7161,290
67,10634746488586437,26679,-582,187,146382,802466,2827,-26,-9591,9017,4201,-1011
47,10634747088949386,27488,-5849,161,57112,1206195,5291,-7075,-4683,8356,-5332,1316
66,10634747250453778,27811,-558,71,114779,1020279,-3549,-494,9335,5758,-5758,5803
65,10634748548627860,28259,-893,443,70532,975506,6962,-116,7176,9160,3997,-320
75,10634750044298312,26250,-1099,-162,79748,525563,-1258,9191,3732,6411,7635,771
40,10634750340656918,27228,-481,1510,67619,833931,-1085,3422,-9333,-7216,6669,1855
67,10634751405573980,26679,-582,187,132537,519314,2656,-583,-9623,9667,2512,480
47,10634751877941530,27488,-5847,154,163998,3111721,2532,6622,-7052,2219,9584,-1793
64,10634751971980811,28525,-1465,-220,52995,506328,550,-324,9979,-6709,-2439,7002
66,10634752162416022,27811,-558,73,105835,1460402,-750,758,9942,9158,-928,3907
65,10634753452644011,28259,-892,447,101603,568366,3694,-2367,8986,7979,-4452,4062
75,10634755012324256,26251,-1099,-157,75870,692212,445,9523,3017,8777,4765,-490
40,10634755084677972,27228,-481,1514,50176,742866,1991,6004,-7744,-1168,9148,3864
44,10634755547514820,25744,-1447,203,90742,1479051,-3302,-7284,6002,-9964,-367,-759
59,10634755550573941,27659,-4120,1155,72636,2007708,-8348,2081,5096,-8887,3187,-3293
68,10634755873694169,25983,-477,309,23957,731019,3529,778,-9323,-2499,7267,-6398
67,10634756322561533,26680,-583,183,154627,730175,3013,-470,-9523,9696,1914,-1522
47,10634756666934114,27489,-5847,152,164160,2662357,4380,5554,-7068,5341,8227,-1942
106,10634756810918578,25352,-2712,275,111387,830980,1231,-5115,-8504,804,-9003,-4277
64,10634756867950891,28525,-1467,-231,108545,2284036,-6951,-3519,-6268,-9130,-3830,-1402
66,10634757074378305,27811,-559,72,108402,1513717,-236,-1186,9926,8351,-4020,3754
61,10634757171903878,27058,-130,-110,178392,2700132,3054,-9332,-1892,4149,-8999,1339
49,10634757476845730,27892,-4438,22,86584,1277958,-4649,-7167,-5197,-2280,-9660,-1217
65,10634758356661915,28258,-892,446,65741,288453,-120,-1322,9911,-9471,2364,2169
40,10634759828698844,27228,-481,1514,51090,742866,1875,6528,-7339,-1168,9148,3864
75,10634759980348361,26248,-1098,-162,142524,1722577,-3790,9194,-1042,-4389,8857,-1506
44,10634760315481787,25744,-1448,202,128850,1453876,437,-9589,2803,-954,-9824,-1603
59,10634760414546009,27659,-4118,1161,95266,2267953,-8880,2001,4138,-9163,2720,-2937
68,10634760796662716,25981,-474,314,79680,2078530,-3546,9269,-1223,-4227,8844,-1973
67,10634761239548713,26680,-583,184,142944,1109612,4963,-1061,-8615,9967,-492,643
47,10634761455926662,27489,-5847,150,192583,2777050,3519,5724,-7405,4005,8801,-2546
64,10634761763922106,28524,-1465,-225,75036,1572155,-9791,1298,-1565,-9976,-668,-112
106,10634761978893970,25352,-2712,274,105690,742290,1230,-5327,-8373,522,-9166,-3963
66,10634761986340719,27812,-559,70,91202,2322859,4381,-4941,7508,8301,-5433,1247
61,10634762051865344,27058,-131,-113,153012,1831362,3276,-9168,-2280,5227,-8301,1936
28,10634762268256652,27903,-3712,357,127479,1468943,-2900,9541,742,5973,7547,-2712
49,10634762276815336,27893,-4439,20,78384,947935,-324,-7119,-7014,3139,-9177,-2433
65,10634763260678907,28258,-893,445,78344,673509,2167,-6051,7660,690,-9960,550
99,10634764098437916,26790,-561,2042,26495,615837,6198,7842,-281,9723,-839,2178
40,10634764572720448,27228,-481,1514,56050,787381,2125,6978,-6839,-398,9375,3456
75,10634764948373451,26248,-1099,-164,97236,688983,-2335,9629,-1346,1364,9308,-3390
44,10634765083448872,25744,-1449,202,168558,2496869,2630,-9634,506,3857,-9058,-1750
38,10634765129928608,26738,-326,389,78589,1869043,9276,-1676,3337,9363,-762,-3427
59,10634765278517461,27658,-4118,1161,103762,2267953,-9127,2126,3487,-9163,2720,-2937
68,10634765719630690,25983,-476,312,59500,1044695,4393,4911,-7522,2483,7886,-5625
67,10634766156536890,26681,-583,184,140115,1089154,5125,371,-8578,9317,3544,782
47,10634766244919678,27489,-5846,151,191937,2695140,4026,6102,-6822,4641,8580,-2196
64,10634766659893874,28523,-1465,-220,90582,1626926,-9826,1537,1040,-9983,-297,482
66,10634766898302761,27812,-560,70,97013,2319013,4788,-5898,6501,7844,-6116,1026
